name	count
Brinck	345
Bring	343
Brink	2027
Brissman	251
Brkic	332
Brobeck	262
Broberg	3263
Brobäck	202
Brodd	464
Brodin	2482
Brodén	1181
Brogren	373
Brolin	2229
Brolund	196
Broman	3013
Bromander	333
Broms	343
Broo	304
Broomé	238
Brorson	213
Brorsson	1903
Broström	1975
Brown	655
Bruce	627
Bruhn	838
Brun	410
Brunberg	236
Brundin	1101
Brunnberg	295
Brunnström	210
Bruno	366
Brunström	259
Brunzell	507
Brus	226
Bruun	325
Bruzelius	264
Bryngelsson	728
Bryntesson	453
Brändström	785
Brännlund	445
Brännmark	310
Brännström	2835
Brännvall	404
Bröms	309
Bucht	383
Budak	292
Buhre	247
Bui	785
Bulduk	259
Bulut	205
Bunjaku	257
Burlin	375
Burman	2715
Bursell	181
Burström	947
Burvall	341
Burén	343
Busch	205
Busk	374
Buskas	246
Butt	314
By	206
Byberg	320
Bygdén	185
Bylander	375
Bylin	545
Bylund	2477
Byman	284
Bystedt	634
Byström	3810
Bytyqi	373
Bäck	3441
Bäcke	187
Bäcker	241
Bäcklin	570
Bäcklund	1791
Bäckman	3899
Bäckstrand	407
Bäckström	7045
Bäckvall	280
Bälter	216
Bång	433
Båth	244
Bååth	541
Böhm	217
Börjeson	233
Börjesson	6657
Böös	204
Bülow	629
Caesar	393
Cai	205
Camara	462
Camitz	186
Campbell	356
Can	588
Cao	378
Cardell	435
Carlander	555
Carlberg	2098
Carlbom	409
Carlborg	312
Carlgren	497
Carling	491
Carlman	244
Carlquist	190
Carlqvist	705
Carlsen	299
Carlson	2411
Carlsson	29523
Carlstedt	827
Carlstein	185
Carlsten	288
Carlström	1867
Carlsén	214
Carlzon	382
Carlén	1500
Carter	230
Cassel	368
Castillo	242
Castro	183
Cato	523
Causevic	192
Cavallin	216
Ceder	1141
Cederberg	1379
Cederblad	545
Cederborg	405
Cedergren	1187
Cederholm	1572
Cederlund	1139
Cederlöf	518
Cederquist	256
Cederqvist	674
Cederström	398
Cedervall	640
Ceesay	375
Celander	381
Celik	943
Ceric	200
Cervin	525
Cetin	356
Chabo	414
Chahin	192
Chahine	196
Chahrour	252
Chamoun	1468
Chan	338
Chang	288
Chau	246
Chaudhry	223
Chen	2232
Cheng	364
Chowdhury	734
Christensen	3096
Christenson	276
Christensson	1876
Christiansen	1083
Christiansson	1655
Christoffersen	190
Christoffersson	827
Chu	276
Chung	184
Cicek	599
Ciftci	284
Cigel	207
Claeson	421
Claesson	6131
Clarin	242
Clark	283
Clarke	283
Clason	181
Classon	845
Clausen	389
Cohen	306
Colak	180
Colic	190
Colliander	434
Collin	1534
Collins	270
Collén	186
Comstedt	270
Conradsson	266
Cooper	275
Corell	180
Cornelius	199
Corneliusson	487
Cosic	338
Coskun	327
Crafoord	219
Creutz	272
Crona	655
Cronberg	192
Cronholm	393
Cronqvist	388
Cronvall	199
Cruz	207
Daabas	247
Dabrowski	222
Dag	327
Daher	395
Dahir	596
Dahl	8278
Dahlbeck	191
Dahlberg	9249
Dahlbom	600
Dahlborg	333
Dahlbäck	657
Dahlgren	5855
Dahlin	4478
Dahlkvist	477
Dahllöf	489
Dahlman	1406
Dahlquist	756
Dahlqvist	3930
Dahlskog	221
Dahlstedt	713
Dahlstrand	378
Dahlström	5826
Dahlén	2135
