tld	type	unicode
.fund	generic	.fund
.furniture	generic	.furniture
.futbol	generic	.futbol
.fyi	generic	.fyi
.ga	country-code	.ga
.gal	generic	.gal
.gallery	generic	.gallery
.gallo	generic	.gallo
.gallup	generic	.gallup
.game	generic	.game
.games	generic	.games
.gap	generic	.gap
.garden	generic	.garden
.gay	generic	.gay
.gb	country-code	.gb
.gbiz	generic	.gbiz
.gd	country-code	.gd
.gdn	generic	.gdn
.ge	country-code	.ge
.gea	generic	.gea
.gent	generic	.gent
.genting	generic	.genting
.george	generic	.george
.gf	country-code	.gf
.gg	country-code	.gg
.ggee	generic	.ggee
.gh	country-code	.gh
.gi	country-code	.gi
.gift	generic	.gift
.gifts	generic	.gifts
.gives	generic	.gives
.giving	generic	.giving
.gl	country-code	.gl
.glass	generic	.glass
.gle	generic	.gle
.global	generic	.global
.globo	generic	.globo
.gm	country-code	.gm
.gmail	generic	.gmail
.gmbh	generic	.gmbh
.gmo	generic	.gmo
.gmx	generic	.gmx
.gn	country-code	.gn
.godaddy	generic	.godaddy
.gold	generic	.gold
.goldpoint	generic	.goldpoint
.golf	generic	.golf
.goodyear	generic	.goodyear
.goog	generic	.goog
.google	generic	.google
.gop	generic	.gop
.got	generic	.got
.gov	sponsored	.gov
.gp	country-code	.gp
.gq	country-code	.gq
.gr	country-code	.gr
.grainger	generic	.grainger
.graphics	generic	.graphics
.gratis	generic	.gratis
.green	generic	.green
.gripe	generic	.gripe
.grocery	generic	.grocery
.group	generic	.group
.gs	country-code	.gs
.gt	country-code	.gt
.gu	country-code	.gu
.gucci	generic	.gucci
.guge	generic	.guge
.guide	generic	.guide
.guitars	generic	.guitars
.guru	generic	.guru
.gw	country-code	.gw
.gy	country-code	.gy
.hair	generic	.hair
.hamburg	generic	.hamburg
.hangout	generic	.hangout
.haus	generic	.haus
.hbo	generic	.hbo
.hdfc	generic	.hdfc
.hdfcbank	generic	.hdfcbank
.health	generic	.health
.healthcare	generic	.healthcare
.help	generic	.help
.helsinki	generic	.helsinki
.here	generic	.here
.hermes	generic	.hermes
.hiphop	generic	.hiphop
.hisamitsu	generic	.hisamitsu
.hitachi	generic	.hitachi
.hiv	generic	.hiv
.hk	country-code	.hk
.hkt	generic	.hkt
.hm	country-code	.hm
.hn	country-code	.hn
.hockey	generic	.hockey
.holdings	generic	.holdings
.holiday	generic	.holiday
.homedepot	generic	.homedepot
.homegoods	generic	.homegoods
.homes	generic	.homes
.homesense	generic	.homesense
.honda	generic	.honda
.horse	generic	.horse
.hospital	generic	.hospital
.host	generic	.host
.hosting	generic	.hosting
.hot	generic	.hot
.hotels	generic	.hotels
.hotmail	generic	.hotmail
.house	generic	.house
.how	generic	.how
.hr	country-code	.hr
.hsbc	generic	.hsbc
.ht	country-code	.ht
.hu	country-code	.hu
.hughes	generic	.hughes
.hyatt	generic	.hyatt
.hyundai	generic	.hyundai
.ibm	generic	.ibm
.icbc	generic	.icbc
.ice	generic	.ice
.icu	generic	.icu
.id	country-code	.id
.ie	country-code	.ie
