code	locality	addresses
15239	4261536	1378
15241	4206064	1654
15260	4261000	2
15282	4261000	4
15290	4261000	4
16501	4224000	309
16502	4224000	1087
16503	4224000	1064
16504	4224000	1181
16505	4224000	2020
16506	4224000	2285
16507	4224000	591
16508	4224000	1324
16509	4224000	3007
16510	4224000	2500
16546	4224000	5
16601	4202184	5013
16602	4202184	4171
16801	4273808	2797
16802	4273808	45
17046	4242168	2861
17101	4232800	373
17102	4232800	959
17103	4232800	1579
17104	4232800	2338
17110	4232800	2574
17120	4232800	32
17401	4287048	1222
17404	4287048	3624
17601	4241216	4291
17602	4241216	3145
17603	4241216	4462
17701	4285312	6388
18015	4206088	3208
18017	4206088	4150
18018	4206088	3922
18042	4221648	4066
18101	4202000	394
18102	4202000	4343
18103	4202000	5661
18104	4202000	6975
18109	4202000	2440
18201	4233408	3627
18503	4269000	255
18504	4269000	2131
18505	4269000	3209
18508	4269000	1383
18509	4269000	1270
18510	4269000	1092
18701	4285152	201
18702	4285152	3289
18705	4285152	1423
19013	4213208	3337
19102	4260000	178
19103	4260000	812
19104	4260000	1994
19106	4260000	678
19107	4260000	727
19108	4260000	1
19109	4260000	1
19111	4260000	2521
19112	4260000	99
19114	4260000	1074
19115	4260000	1445
19116	4260000	1452
19118	4260000	698
19119	4260000	1316
19120	4260000	2058
19121	4260000	2046
19122	4260000	1319
19123	4260000	1238
19124	4260000	2633
19125	4260000	1657
19126	4260000	740
19127	4260000	434
19128	4260000	1788
19129	4260000	568
19130	4260000	1172
19131	4260000	1645
19132	4260000	2097
19133	4260000	1415
19134	4260000	2753
19135	4260000	1456
19136	4260000	1458
19137	4260000	577
19138	4260000	1253
19139	4260000	1748
19140	4260000	2568
19141	4260000	1237
19142	4260000	1204
19143	4260000	2548
19144	4260000	1696
19145	4260000	2188
19146	4260000	2154
19147	4260000	2359
19148	4260000	2313
19149	4260000	1663
19150	4260000	995
19151	4260000	1200
19152	4260000	1205
19153	4260000	667
19154	4260000	1303
19401	4254656	2736
19601	4263624	1824
19602	4263624	1100
19604	4263624	1353
19611	4263624	893
19709	1047030	3448
19711	1050670	3754
19716	1050670	61
19717	1050670	17
19801	1077580	1548
19802	1077580	2103
19803	1077580	2020
19805	1077580	2806
19806	1077580	792
19809	1077580	1429
19901	1021200	3105
19902	1021200	15
19904	1021200	3143
20001	1150000	1343
20002	1150000	2189
20003	1150000	1124
20004	1150000	147
20005	1150000	287
20006	1150000	149
20007	1150000	1231
20008	1150000	1000
20009	1150000	800
20010	1150000	579
20011	1150000	2415
20012	1150000	986
20015	1150000	986
20016	1150000	1668
20017	1150000	917
20018	1150000	1162
20019	1150000	2369
20020	1150000	1804
20024	1150000	487
20032	1150000	986
20036	1150000	231
20037	1150000	248
20052	1150000	35
20057	1150000	9
20059	1150000	32
20064	1150000	1
20110	5148952	2263
20170	5136648	2370
20175	5144984	2648
20176	5144984	3336
20220	1150000	1
20230	1150000	1
20240	1150000	1
20245	1150000	1
20250	1150000	4
20260	1150000	2
20317	1150000	1
20319	1150000	12
20373	1150000	7
20388	1150000	1
20408	1150000	2
20415	1150000	1
20418	1150000	1
20422	1150000	2
20431	1150000	1
20515	1150000	4
20520	1150000	1
20530	1150000	2
20535	1150000	2
20551	1150000	1
20560	1150000	8
20565	1150000	1
20566	1150000	2
20591	1150000	1
20707	2445900	2090
20715	2408775	2222
20716	2408775	1555
20740	2418750	1666
20742	2418750	12
20850	2467675	2763
20851	2467675	822
20877	2431175	1383
20878	2431175	3506
20899	2431175	18
21201	2404000	1157
21202	2404000	1746
21205	2404000	1062
21206	2404000	2296
21209	2404000	828
21210	2404000	830
21211	2404000	1025
21212	2404000	1311
21213	2404000	1962
21214	2404000	1542
21215	2404000	3367
21216	2404000	1878
21217	2404000	2182
21218	2404000	2680
21223	2404000	2009
21224	2404000	2844
21226	2404000	991
21229	2404000	1932
21230	2404000	2848
21231	2404000	1120
21233	2404000	16
21239	2404000	919
21251	2404000	2
21287	2404000	11
21701	2430325	2802
21702	2430325	2682
21705	2430325	1
21740	2436075	5476
21801	2469925	3718
21804	2469925	3818
22301	5101000	944
22302	5101000	859
22304	5101000	1183
22305	5101000	528
22311	5101000	498
22314	5101000	1779
22401	5129744	1952
22407	5129744	9
22408	5129744	12
22601	5186720	2310
22801	5135624	1848
22802	5135624	1373
22807	5135624	66
22901	5114968	528
22902	5114968	1324
22903	5114968	1677
22908	5114968	1
23173	5167000	21
23219	5167000	733
23220	5167000	2163
23221	5167000	1276
23222	5167000	1885
23224	5167000	3064
23225	5167000	2991
23226	5167000	945
23230	5167000	533
23234	5167000	1187
23284	5167000	23
23298	5167000	27
23320	5116000	4157
23321	5116000	2966
23322	5116000	5978
23323	5116000	3428
23324	5116000	2003
23325	5116000	1263
23432	5176432	273
23433	5176432	169
23434	5176432	5397
23435	5176432	2340
23436	5176432	139
23437	5176432	1004
23438	5176432	428
23451	5182000	3782
23452	5182000	4497
23453	5182000	1911
23454	5182000	4376
23455	5182000	3906
23456	5182000	4512
23457	5182000	854
23459	5182000	31
23460	5182000	6
23461	5182000	6
23462	5182000	3796
23464	5182000	4910
23502	5157000	1864
23503	5157000	1970
23504	5157000	1862
23505	5157000	1845
23507	5157000	470
23508	5157000	1323
23509	5157000	1153
23510	5157000	520
23511	5157000	125
23513	5157000	2168
23517	5157000	602
23518	5157000	2466
23523	5157000	880
23551	5157000	3
23601	5156000	1825
23602	5156000	2741
23603	5156000	264
23604	5156000	137
23605	5156000	1072
23606	5156000	2021
23607	5156000	1914
23608	5156000	2845
23651	5135000	97
23661	5135000	1543
23663	5135000	1101
23664	5135000	951
23665	5135000	216
23666	5135000	3638
23667	5135000	7
23668	5135000	10
23669	5135000	3280
23681	5135000	31
23701	5164000	2085
23702	5164000	985
23703	5164000	2100
23704	5164000	2149
23707	5164000	1659
23708	5164000	2
23709	5164000	1
23803	5161832	2698
23805	5161832	1360
24011	5168000	135
24012	5168000	2607
24013	5168000	1103
24014	5168000	1598
24015	5168000	1669
24016	5168000	1493
24017	5168000	2650
24022	5168000	1
24060	5107784	4686
24061	5107784	67
24153	5170000	3256
24401	5175216	2658
24501	5147672	2484
24502	5147672	1995
24503	5147672	1469
24504	5147672	1411
24515	5147672	2
24540	5121344	2243
24541	5121344	2975
25301	5414600	623
25302	5414600	2309
25304	5414600	1373
25305	5414600	12
25311	5414600	1306
25314	5414600	1671
25387	5414600	844
25701	5439460	2526
25702	5439460	1020
25703	5439460	568
25704	5439460	747
25705	5439460	2200
25755	5439460	3
26003	5486452	5360
26101	5462140	5085
26104	5462140	2709
26505	5455756	3622
26506	5455756	5
27040	3775000	1729
27101	3775000	2717
27103	3775000	3542
27104	3775000	2785
27105	3775000	4517
27106	3775000	4457
27107	3775000	5451
27109	3775000	6
27110	3775000	1
27127	3775000	4026
27203	3702080	2709
27205	3702080	4964
27214	3728000	1410
27215	3709060	5166
27217	3709060	4563
27235	3731400	713
27260	3731400	3063
27262	3731400	2712
27265	3731400	4668
27268	3731400	21
27282	3731400	1631
27284	3735600	6455
27330	3759280	6794
27332	3759280	3616
27360	3767420	6249
27401	3728000	2056
27403	3728000	2029
27405	3728000	4400
27406	3728000	5921
27407	3728000	3854
27408	3728000	2057
27409	3728000	1265
27410	3728000	4336
27411	3728000	8
27412	3728000	35
27455	3728000	2705
27502	3701520	4259
27503	3719000	557
27511	3710740	2730
27513	3710740	4106
27514	3711800	2243
27516	3711800	3739
27517	3711800	1700
27518	3710740	2161
27519	3710740	4601
27520	3712860	4779
27523	3701520	1534
27526	3725300	5288
27529	3725480	5624
27530	3726880	5102
27531	3726880	13
27533	3726880	25
27534	3726880	3398
27539	3701520	2651
27540	3732260	3899
27560	3744520	2725
27562	3701520	392
27587	3770540	7164
27592	3725300	2227
27599	3711800	24
27601	3755000	1022
27603	3755000	5346
27604	3755000	3705
27605	3755000	425
27606	3755000	3079
27607	3755000	1853
27608	3755000	1071
27609	3755000	2576
27610	3755000	6191
27612	3755000	3114
27613	3755000	4348
27614	3755000	3383
27615	3755000	4025
27616	3755000	4322
27617	3755000	1243
27695	3755000	1
27697	3755000	1
27701	3719000	2288
27703	3719000	5422
27704	3719000	3277
27705	3719000	4128
27707	3719000	3492
27708	3719000	20
27709	3719000	67
27712	3719000	2627
27713	3719000	4185
27801	3757500	2
27803	3757500	3227
27804	3757500	3918
27834	3728080	6165
27858	3728080	4815
27893	3774540	4922
27896	3774540	2103
28025	3714100	6523
28027	3714100	6321
28031	3714700	2778
28052	3725580	4761
28054	3725580	3819
28056	3725580	4442
28078	3733120	6695
28081	3735200	3827
28083	3735200	3600
28105	3741960	3840
28112	3743920	3181
28115	3744220	4880
28144	3758860	3882
28146	3758860	4661
28147	3758860	3326
28202	3712000	764
28203	3712000	1234
28204	3712000	702
28205	3712000	3677
28206	3712000	1466
28207	3712000	618
28208	3712000	3555
28209	3712000	1560
28210	3712000	3064
28211	3712000	2477
28212	3712000	2081
28213	3712000	2908
28214	3712000	4065
28215	3712000	4587
28216	3712000	4885
28217	3712000	1930
28223	3712000	18
28226	3712000	3417
28227	3743480	4920
28244	3712000	1
28262	3712000	2514
28269	3712000	6204
28270	3712000	2771
28273	3712000	3004
28274	3712000	1
28277	3712000	5558
28278	3712000	3022
28282	3712000	3
28301	3722920	2610
28303	3722920	3449
28304	3722920	3516
28305	3722920	791
28306	3722920	5287
28307	3722920	515
28310	3722920	72
28311	3722920	3552
28314	3722920	4036
28401	3774440	3236
28403	3774440	3155
28405	3774440	3204
28409	3774440	3420
28412	3774440	3407
28451	3737680	4514
28479	3737680	830
28539	3734200	1753
28540	3734200	4869
28542	3734200	16
28543	3734200	163
28546	3734200	3890
28547	3734200	315
28560	3746340	3674
28562	3746340	4277
28601	3731060	5748
28602	3731060	4534
28625	3764740	5856
28677	3764740	5302
28715	3702140	3984
28801	3702140	1658
28803	3702140	3579
28805	3702140	2202
28806	3702140	4802
29044	4516000	1243
29045	4516000	1318
29072	4541335	5913
29150	4570405	5544
29152	4570405	186
29153	4570405	3278
29201	4516000	2375
29203	4516000	4999
29204	4516000	2387
29205	4516000	2977
29207	4516000	40
29208	4516000	44
29209	4516000	3392
29210	4516000	2754
29212	4516000	2790
29225	4516000	23
29229	4516000	3530
29301	4568290	3699
29302	4568290	2469
29306	4568290	1972
29307	4568290	2512
29401	4513330	886
29403	4513330	1709
29404	4550875	248
29405	4550875	3032
29406	4550875	2137
29407	4513330	3859
29409	4513330	19
29412	4513330	4700
29414	4513330	3543
29418	4550875	1766
29420	4550875	1462
29424	4513330	25
29425	4513330	20
29445	4529815	4252
29455	4513330	4799
29456	4550875	2250
29464	4548535	4453
29466	4548535	3378
29483	4570270	5059
29485	4550875	4058
29486	4529815	3590
29492	4513330	1669
29501	4525810	4898
29505	4525810	2931
29506	4525810	2999
29526	4516405	6404
29527	4516405	3755
29572	4549075	1320
29577	4549075	3741
29601	4530850	1802
29607	4530850	4205
29609	4530850	3637
29614	4530850	25
29621	4501360	5156
29624	4501360	2621
29640	4521985	5362
29650	4530985	3613
29651	4530985	6408
29662	4545115	1280
29680	4566580	2925
29715	4526890	3620
29730	4561405	6471
29732	4561405	5798
29733	4561405	13
29801	4500550	4605
29803	4500550	5528
29841	4550695	3851
29860	4550695	706
29910	4507210	4035
29926	4534045	2622
29928	4534045	2385
30004	1351670	4597
30005	1301696	2325
30008	1349756	2101
30009	1301696	1679
30022	1342425	4877
30030	1322052	2133
30035	1373784	1469
30038	1373784	3441
30043	1345488	5797
30044	1345488	5003
30046	1345488	2654
30058	1373784	4069
30060	1349756	3118
30062	1349756	6111
30064	1349756	4565
30066	1349756	5706
30067	1349756	2844
30068	1349756	3038
30075	1367284	5172
30076	1367284	3085
30080	1371492	3902
30082	1371492	2465
30083	1377652	3679
30084	1377652	2994
30087	1377652	3129
30090	1349756	4
30092	1359735	2121
30096	1324600	3797
30097	1342425	3097
30114	1312988	5413
30116	1313492	2626
30117	1313492	4170
30118	1313492	7
30120	1313688	4651
30121	1313688	2318
30126	1348288	3670
30134	1323900	2717
30135	1323900	6103
30144	1343192	3752
30152	1343192	3456
30161	1366668	4750
30165	1366668	4434
30168	1348288	1758
30184	1313688	906
30188	1384176	5472
30189	1384176	3010
30213	1372122	3541
30240	1344340	3212
30241	1344340	2532
30252	1348624	4109
30253	1348624	4749
30263	1355020	5855
30265	1355020	3029
30269	1359724	3249
30272	1372122	9
30281	1373704	5220
30291	1378324	1354
30296	1372122	355
30303	1304000	421
30305	1304000	1239
30306	1304000	1266
30307	1304000	1238
30308	1304000	591
30309	1304000	874
30310	1304000	2481
30311	1304000	1773
30312	1304000	1376
30313	1304000	366
30314	1304000	1708
30315	1304000	2451
30316	1304000	2617
30317	1304000	1117
30318	1304000	4263
30319	1310944	2487
30322	1304000	73
30324	1304000	1249
30326	1304000	124
30327	1304000	2022
30328	1368516	2167
30331	1372122	3885
30332	1304000	41
30334	1304000	16
30336	1372122	415
30338	1324768	2528
30341	1315172	1902
30342	1368516	1638
30344	1325720	2947
30345	1315172	1646
30346	1324768	283
30349	1372122	4587
30350	1368516	2101
30354	1304000	1214
30360	1324768	1010
30363	1304000	39
30458	1373256	4063
30460	1373256	5
30461	1373256	2129
30501	1331908	3039
30504	1331908	2112
30506	1331908	3421
30507	1331908	2131
30601	1303440	1909
30602	1303440	84
30605	1303440	2611
30606	1303440	3359
30607	1303440	726
30609	1303440	8
30622	1303440	253
30683	1303440	573
30720	1321380	3322
30721	1321380	5966
30740	1321380	1170
30805	1304204	277
30812	1304204	2
30815	1304204	2906
30901	1304204	2423
30904	1304204	2868
30905	1304204	146
30906	1304204	4736
30909	1304204	3505
30912	1304204	16
31005	1380508	1910
31020	1349008	73
31047	1360340	1558
31052	1349008	905
31069	1360340	2571
31088	1380508	4592
31093	1380508	2835
31201	1349008	2204
31204	1349008	3893
31206	1349008	3014
31207	1349008	12
31210	1349008	2519
31211	1349008	748
31213	1349008	1
31216	1349008	1901
31217	1349008	1925
31220	1349008	1189
31313	1338964	3624
31322	1362104	1904
31401	1369000	3450
