code	name	region	population
37081	Guilford County	NC	562234
37097	Iredell County	NC	211798
37101	Johnston County	NC	256448
37105	Lee County	NC	70258
37119	Mecklenburg County	NC	1233383
37127	Nash County	NC	99365
37129	New Hanover County	NC	245959
37133	Onslow County	NC	217175
37135	Orange County	NC	152498
37147	Pitt County	NC	182936
37151	Randolph County	NC	149516
37159	Rowan County	NC	155096
37179	Union County	NC	267674
37183	Wake County	NC	1257235
37191	Wayne County	NC	122278
37195	Wilson County	NC	81150
38015	Burleigh County	ND	103251
38017	Cass County	ND	201794
38035	Grand Forks County	ND	74501
38059	Morton County	ND	34601
38089	Stark County	ND	34013
38101	Ward County	ND	68233
38105	Williams County	ND	41767
39003	Allen County	OH	100881
39009	Athens County	OH	63197
39017	Butler County	OH	400128
39023	Clark County	OH	135340
39035	Cuyahoga County	OH	1232925
39041	Delaware County	OH	242032
39045	Fairfield County	OH	169752
39049	Franklin County	OH	1361536
39057	Greene County	OH	174322
39061	Hamilton County	OH	838418
39063	Hancock County	OH	75034
39085	Lake County	OH	232217
39089	Licking County	OH	185564
39093	Lorain County	OH	323219
39095	Lucas County	OH	423347
39099	Mahoning County	OH	224706
39101	Marion County	OH	65115
39103	Medina County	OH	185025
39109	Miami County	OH	112634
39113	Montgomery County	OH	539598
39119	Muskingum County	OH	87014
39133	Portage County	OH	163404
39139	Richland County	OH	124893
39151	Stark County	OH	373771
39153	Summit County	OH	538376
39155	Trumbull County	OH	198972
39159	Union County	OH	73446
39165	Warren County	OH	257181
39169	Wayne County	OH	116758
39173	Wood County	OH	134176
40027	Cleveland County	OK	303973
40031	Comanche County	OK	122158
40047	Garfield County	OK	61779
40101	Muskogee County	OK	66708
40109	Oklahoma County	OK	822125
40119	Payne County	OK	83889
40125	Pottawatomie County	OK	75102
40143	Tulsa County	OK	698782
40147	Washington County	OK	54037
41003	Benton County	OR	97728
41005	Clackamas County	OR	426280
41017	Deschutes County	OR	213072
41029	Jackson County	OR	221795
41033	Josephine County	OR	87867
41039	Lane County	OR	381584
41043	Linn County	OR	132843
41047	Marion County	OR	355777
41051	Multnomah County	OR	795391
41067	Washington County	OR	611708
41071	Yamhill County	OR	110024
42003	Allegheny County	PA	1225035
42011	Berks County	PA	440072
42013	Blair County	PA	119541
42027	Centre County	PA	157393
42043	Dauphin County	PA	293351
42045	Delaware County	PA	580937
42049	Erie County	PA	265832
42069	Lackawanna County	PA	216502
42071	Lancaster County	PA	563159
42075	Lebanon County	PA	146380
42077	Lehigh County	PA	384383
42079	Luzerne County	PA	332126
42081	Lycoming County	PA	112587
42091	Montgomery County	PA	877643
42095	Northampton County	PA	324411
42101	Philadelphia County	PA	1574281
42133	York County	PA	473197
44003	Kent County	RI	173495
44007	Providence County	RI	678179
45003	Aiken County	SC	181515
45007	Anderson County	SC	219930
45013	Beaufort County	SC	204433
45015	Berkeley County	SC	274666
45019	Charleston County	SC	436200
45035	Dorchester County	SC	178397
45041	Florence County	SC	138504
45045	Greenville County	SC	583125
45051	Horry County	SC	427551
45063	Lexington County	SC	317588
45077	Pickens County	SC	139198
45079	Richland County	SC	434956
45083	Spartanburg County	SC	380857
45085	Sumter County	SC	105067
45091	York County	SC	306887
46011	Brookings County	SD	37635
46013	Brown County	SD	37561
46099	Minnehaha County	SD	212691
46103	Pennington County	SD	116792
47001	Anderson County	TN	82066
47003	Bedford County	TN	55273
47009	Blount County	TN	143820
47011	Bradley County	TN	115465
47037	Davidson County	TN	745904
47063	Hamblen County	TN	68843
47065	Hamilton County	TN	390833
47093	Knox County	TN	511453
47113	Madison County	TN	100790
47119	Maury County	TN	118131
47125	Montgomery County	TN	249935
47141	Putnam County	TN	86612
47149	Rutherford County	TN	386352
47157	Shelby County	TN	910226
47163	Sullivan County	TN	163759
47165	Sumner County	TN	215538
47179	Washington County	TN	141199
47187	Williamson County	TN	272061
47189	Wilson County	TN	175033
48005	Angelina County	TX	88154
48027	Bell County	TX	402248
48029	Bexar County	TX	2160088
48037	Bowie County	TX	92696
48039	Brazoria County	TX	419080
48041	Brazos County	TX	249088
48061	Cameron County	TX	433946
48085	Collin County	TX	1297179
48091	Comal County	TX	209166
48099	Coryell County	TX	85592
48113	Dallas County	TX	2661397
48121	Denton County	TX	1069346
48135	Ector County	TX	173801
48139	Ellis County	TX	240867
48141	El Paso County	TX	877858
48157	Fort Bend County	TX	975191
48167	Galveston County	TX	372207
48181	Grayson County	TX	153613
48183	Gregg County	TX	126095
48187	Guadalupe County	TX	201111
48201	Harris County	TX	5045026
48209	Hays County	TX	304390
48215	Hidalgo County	TX	921549
48231	Hunt County	TX	123336
48245	Jefferson County	TX	254321
48251	Johnson County	TX	218048
48257	Kaufman County	TX	209235
48265	Kerr County	TX	54037
48277	Lamar County	TX	51503
48303	Lubbock County	TX	328906
48309	McLennan County	TX	272020
48323	Maverick County	TX	58823
48329	Midland County	TX	187855
48339	Montgomery County	TX	781194
48347	Nacogdoches County	TX	66035
48349	Navarro County	TX	57181
48355	Nueces County	TX	352992
48367	Parker County	TX	184767
48381	Randall County	TX	152351
48397	Rockwall County	TX	140738
48423	Smith County	TX	252549
48439	Tarrant County	TX	2248466
48441	Taylor County	TX	150077
48451	Tom Green County	TX	120602
48453	Travis County	TX	1389670
48465	Val Verde County	TX	47835
48469	Victoria County	TX	92656
48471	Walker County	TX	83842
48479	Webb County	TX	281224
48485	Wichita County	TX	129555
48491	Williamson County	TX	752827
49005	Cache County	UT	145000
49011	Davis County	UT	381227
49021	Iron County	UT	67141
49035	Salt Lake County	UT	1220916
49045	Tooele County	UT	87461
49049	Utah County	UT	759859
49053	Washington County	UT	213670
49057	Weber County	UT	278174
50007	Chittenden County	VT	169115
51059	Fairfax County	VA	1167873
51107	Loudoun County	VA	449749
51121	Montgomery County	VA	98434
51510	Alexandria city	VA	160662
51540	Charlottesville city	VA	44388
51550	Chesapeake city	VA	255332
51590	Danville city	VA	41647
51630	Fredericksburg city	VA	30393
51650	Hampton city	VA	137315
51660	Harrisonburg city	VA	50839
51680	Lynchburg city	VA	81347
51683	Manassas city	VA	44332
51700	Newport News city	VA	183230
51710	Norfolk city	VA	231013
51730	Petersburg city	VA	33734
51740	Portsmouth city	VA	96777
51760	Richmond city	VA	237257
51770	Roanoke city	VA	99111
51775	Salem city	VA	25816
51790	Staunton city	VA	26801
51800	Suffolk city	VA	104699
51810	Virginia Beach city	VA	453737
51840	Winchester city	VA	28272
53005	Benton County	WA	221722
53007	Chelan County	WA	81941
53011	Clark County	WA	532119
53015	Cowlitz County	WA	114885
53021	Franklin County	WA	102612
53025	Grant County	WA	105727
53033	King County	WA	2344939
53035	Kitsap County	WA	283374
53053	Pierce County	WA	946288
53057	Skagit County	WA	132975
53061	Snohomish County	WA	870656
53063	Spokane County	WA	558344
53067	Thurston County	WA	304261
53071	Walla Walla County	WA	62361
53073	Whatcom County	WA	236392
53075	Whitman County	WA	48512
53077	Yakima County	WA	259185
54011	Cabell County	WV	91183
54039	Kanawha County	WV	172381
54061	Monongalia County	WV	107991
54069	Ohio County	WV	40496
54107	Wood County	WV	82385
55009	Brown County	WI	275803
55025	Dane County	WI	590375
55031	Douglas County	WI	43990
55035	Eau Claire County	WI	109033
55039	Fond du Lac County	WI	104669
55059	Kenosha County	WI	168448
55063	La Crosse County	WI	121339
55071	Manitowoc County	WI	81710
55073	Marathon County	WI	139432
55079	Milwaukee County	WI	924216
55087	Outagamie County	WI	195894
55089	Ozaukee County	WI	94346
55097	Portage County	WI	71943
55101	Racine County	WI	198919
55105	Rock County	WI	166472
55117	Sheboygan County	WI	118047
55131	Washington County	WI	139238
55133	Waukesha County	WI	417210
55139	Winnebago County	WI	174218
56001	Albany County	WY	38558
56005	Campbell County	WY	48145
56021	Laramie County	WY	102938
56025	Natrona County	WY	80526
