name	sex	count
Brad	m	82885
Braden	m	45172
Bradford	m	30369
Bradley	m	306715
Bradly	m	9262
Brady	m	89583
Bradyn	m	4555
Braeden	m	13334
Braedon	m	3917
Braelyn	f	9513
Braelynn	f	7504
Braiden	m	7273
Brain	m	4597
Brandan	m	5642
Branden	m	27286
Brandi	f	101672
Brandie	f	15813
Brandon	m	761751
Brandt	m	5857
Brandy	f	106306
Brandyn	m	4689
Brannon	m	4625
Branson	m	7103
Brant	m	9342
Brantley	m	26878
Braulio	m	4666
Braxton	m	53860
Brayan	m	14970
Brayden	m	125175
Braydon	m	13640
Braylen	m	10753
Braylon	m	16576
Breana	f	11156
Breanna	f	81779
Breanne	f	10285
Brecken	m	3987
Bree	f	8850
Brenda	f	606841
Brendan	m	90281
Brenden	m	25361
Brendon	m	19770
Brenna	f	28804
Brennan	m	32108
Brennen	m	8856
Brennon	m	4209
Brent	m	138862
Brentley	m	3664
Brenton	m	14537
Bret	m	29704
Brett	m	158179
Bria	f	15321
Brian	m	1167676
Briana	f	94400
Brianna	f	256445
Brianne	f	20310
Briar	m	4445
Brice	m	14640
Bridger	m	5115
Bridget	f	88037
Bridgett	f	13050
Bridgette	f	23499
Briella	f	10650
Brielle	f	38814
Brien	m	3560
Briggs	m	4703
Brigid	f	6195
Brigitte	f	8853
Briley	f	6043
Brinley	f	10341
Brisa	f	8063
Bristol	f	8310
Britany	f	6417
Britney	f	34800
Britt	m	4550
Brittani	f	11739
Brittany	f	359074
Brittney	f	81995
Brittni	f	5986
Britton	m	5930
Brock	m	41821
Broderick	m	8630
Brodie	m	9936
Brody	m	72870
Brogan	m	3921
Bronson	m	9447
Brook	f	10469
Brooke	f	193086
Brooklyn	f	110575
Brooklynn	f	34059
Brooks	m	33552
Bruce	m	363395
Bruno	m	11900
Bryan	m	381795
Bryana	f	6025
Bryanna	f	19097
Bryant	m	48815
Bryce	m	116759
Brycen	m	12267
Brylee	f	9847
Bryn	f	7006
Brynlee	f	15360
Brynn	f	25823
Bryon	m	14535
Bryson	m	69830
Buck	m	4270
Bud	m	5260
Buddy	m	19711
Buford	m	5845
Burke	m	3430
Burl	m	4056
Burt	m	4715
Burton	m	13315
Buster	m	3782
Butch	m	3387
Byron	m	70163
Cade	m	28751
Caden	m	63491
Cadence	f	20939
Cael	m	3468
Caesar	m	4354
Caiden	m	20236
Cain	m	6386
Cairo	m	4355
