name	municipality	population	lat	lon
Hjo	1497	6427	58.3013	14.2878
Hjortkvarn	1861	220	58.9000	15.4333
Hjortsberga	0764	252	56.9167	14.4500
Hjälteby	1419	200	58.0500	11.7000
Hjältevad	0686	334	57.6333	15.3333
Hjärnarp	1292	1218	56.3167	12.9167
Hjärtum	1462	401	58.1833	12.1000
Hjärup	1230	5948	55.6684	13.1718
Hofors	2104	6037	60.5457	16.2867
Hok	0665	686	57.5167	14.2667
Holm	1380	859	56.7333	12.8500
Holmsjö	1080	357	56.4167	15.5333
Holmsund	2480	6064	63.7060	20.3641
Holmsveden	2183	200	61.1167	16.7167
Holsbybrunn	0685	784	57.4333	15.2000
Holsljunga	1465	215	57.4167	12.9667
Horda	0683	360	57.0333	14.2500
Horn	0513	454	57.9000	15.8333
Horndal	2084	1012	60.3000	16.4167
Hornmyr	2481	200	64.4000	18.4000
Horred	1463	1283	57.3500	12.4667
Hortlax	2581	1591	65.2833	21.3833
Hoting	2313	577	64.1167	16.1667
Hova	1447	1225	58.8667	14.1833
Hovmantorp	0761	3208	56.7833	15.1333
Hovås	1480	200	57.6114	11.9392
Huaröd	1290	256	55.8333	13.9667
Huddinge	0126	114304	59.2370	17.9819
Huddungeby	0331	200	60.0500	16.9833
Hudiksvall	2184	16792	61.7290	17.1036
Hult	0686	408	57.6333	15.1333
Hultafors	1443	295	57.7000	12.7333
Hultsfred	0860	5614	57.4882	15.8436
Hunnebostrand	1427	1988	58.4413	11.3032
Huskvarna	0680	200	57.8000	14.2667
Husum	2284	1475	63.3333	19.1667
Hyllinge	1277	2454	56.1000	12.8500
Hyltebruk	1315	3929	56.9989	13.2396
Hyppeln	1407	200	57.7199	11.6248
Hyssna	1463	780	57.5667	12.5333
Hägersten	0180	200	59.3059	17.9872
Häggenås	2380	363	63.3833	14.8833
Häljarp	1282	4024	55.8500	12.9167
Hällaström	2463	200	63.9333	17.2667
Hällefors	1863	4124	59.7839	14.5220
Hälleforsnäs	0482	1536	59.1667	16.5000
Hällekis	1471	618	58.6167	13.4333
Hällestad	0562	303	58.7333	15.5667
Hällevadsholm	1430	782	58.5833	11.5333
Hälleviksstrand	1421	200	58.1250	11.4500
Hällingsjö	1401	480	57.6167	12.4333
Hällnäs	2404	231	64.3167	19.6333
Hälsö	1407	569	57.6984	11.6498
Häradsbäck	0765	200	56.5333	14.4500
Härnösand	2280	18236	62.6323	17.9379
Härryda	1401	1207	57.6544	12.3632
Hässelby	0180	200	59.1500	16.8500
Hässleholm	1293	19760	56.1591	13.7664
Hästveda	1293	1731	56.2667	13.9333
Håcksvik	1465	200	57.3167	13.1500
Håknäs	2401	200	63.5667	19.6667
Hålanda	1440	200	57.9806	12.1639
Hållsta	0484	899	59.3000	16.4500
Hålta	1482	200	57.8833	11.8167
Hårsfjärden	0136	200	59.2654	18.6400
Håverud	1492	200	58.8167	12.4000
Höganäs	1284	16274	56.1997	12.5580
Högsby	0821	1872	57.1660	16.0256
Högsjö	0428	606	59.0333	15.6833
Högsäter	1439	695	58.6500	12.0500
Höje	1783	200	59.9000	13.5500
Hökerum	1491	726	57.8500	13.2833
Höljes	1737	200	60.9000	12.6000
Höllviken	1233	200	55.4167	12.9500
Hölö	0181	1646	59.0167	17.5333
Hörby	1266	7583	55.8524	13.6609
Hörja	1293	201	56.2000	13.5833
Höviksnäs	1419	3469	58.0333	11.7667
Höör	1267	14004	55.9693	13.5732
Idkerberget	2085	200	60.3833	15.2333
Iggesund	2184	3370	61.6444	17.0831
Ilsbo	2132	419	61.8667	17.0667
Indal	2281	940	62.4790	17.2032
Ingatorp	0686	486	57.6333	15.4000
Ingelstad	0780	1863	56.8458	14.8360
Ingmarsö	0117	200	59.4675	18.7494
Insjön	2029	2110	60.6833	15.0833
Johanneshov	0180	200	59.3333	18.0500
Johannishus	1081	786	56.2167	15.4167
Jokkmokk	2510	2711	66.6066	19.8232
Jonsered	1402	887	57.7500	12.1667
Jonstorp	1284	2203	56.2333	12.6667
Jukkasjärvi	2584	753	67.8500	20.6167
Julita	0484	200	59.1532	16.0424
Junosuando	2521	263	67.4333	22.5167
Junsele	2283	729	63.6833	16.9000
Juoksengi	2518	255	66.5667	23.8500
Jädraås	2101	200	60.8500	16.4667
Jämjö	1080	2674	56.1833	15.8167
Jämshög	1060	1533	56.2333	14.5167
Järbo	2181	1758	60.7167	16.6000
Järfälla	0123	88950	59.3501	17.9658
Järlåsa	0380	594	59.8833	17.2000
Järna	0181	6110	59.1000	17.5667
Järnforsen	0860	423	57.4167	15.6167
Järpen	2321	1597	63.3500	13.4833
Järpås	1494	777	58.3833	12.9667
Järved	2284	200	63.2667	18.7667
Järvsö	2161	1592	61.7167	16.1667
Jättendal	2132	224	61.9675	17.2489
Jävrebyn	2581	200	65.1500	21.4833
Jönköping	0680	103032	57.7815	14.1562
Jönåker	0480	620	58.7333	16.7167
Jörlanda	1415	1471	57.9833	11.8167
Jörn	2482	606	65.0333	20.1500
Kainulasjärvi	2521	200	67.0000	22.5000
Kalix	2514	8226	65.8530	23.1565
Kallinge	1081	4579	56.2333	15.2833
Kalmar	0880	42622	56.6616	16.3616
Kalvsvik	0780	200	56.7167	14.7000
Kangos	2521	210	67.4833	22.6667
Kareby	1482	200	57.9167	11.9000
Karesuando	2584	272	68.4396	22.4705
Karlholmsbruk	0360	1206	60.5167	17.6167
Karlsborg	1446	3876	58.5372	14.5047
Karlsborgsverken	2514	200	65.8390	23.2658
Karlshamn	1082	19966	56.1706	14.8619
Karlskoga	1883	27261	59.3267	14.5239
Karlskrona	1080	36423	56.1616	15.5866
Karlstad	1780	69615	59.3793	13.5036
Karungi	2583	200	66.0500	23.9500
Katrineholm	0483	23953	58.9959	16.2072
Kattarp	1283	891	56.0983	12.7306
Kil	1715	8381	59.5072	13.3139
Kilafors	2183	1115	61.2333	16.5667
Killeberg	1273	612	56.4667	14.0833
Kilsmo	1880	200	59.0667	15.5167
Kimstad	0581	1603	58.5333	15.9667
Kinna	1463	15507	57.5073	12.6946
Kinnahult	1463	200	57.5333	12.7167
Kinnared	1315	295	57.0333	13.1000
Kinnarp	1499	949	58.0667	13.5167
Kinnarumma	1490	394	57.6000	12.8333
Kiruna	2584	17284	67.8557	20.2251
Kisa	0513	3746	57.9878	15.6330
Kista	0180	200	59.4032	17.9448
Kivik	1291	871	55.6833	14.2500
Klagstorp	1287	416	55.4000	13.3667
Klavreström	0760	200	57.1333	15.1333
Klimpfjäll	2462	200	64.6751	16.6456
Klintehamn	0980	1539	57.3867	18.2037
Klippan	1276	9049	56.1356	13.1309
Klädesholmen	1419	200	57.9500	11.5333
Klässbol	1784	304	59.5333	12.7333
Klågerup	1263	2317	55.6000	13.2500
Klövedal	1419	200	58.0333	11.5833
Klövsjö	2326	358	62.5285	14.1942
Knislinge	1256	3346	56.1833	14.0833
Knivsta	0330	9771	59.7256	17.7875
Knutby	0380	702	59.9167	18.2500
Knäred	1381	1177	56.5333	13.3167
Kode	1482	1569	57.9333	11.8500
Kolbäck	1961	2108	59.5667	16.2500
Koler	2581	200	65.5000	20.5000
Kolmården	0581	200	58.6667	16.3833
Kolsva	1983	2375	59.6000	15.8333
Konga	0763	441	56.5000	15.1167
Kopparberg	1864	2697	59.8760	14.9944
Koppom	1730	678	59.7167	12.1500
Korpilombolo	2521	504	66.8518	23.0552
Korsberga	0685	707	57.3167	15.1167
Korskrogen	2161	200	61.8167	15.7500
Koskullskulle	2523	1216	67.1833	20.7500
Kosta	0761	836	56.8500	15.3833
Kovland	2281	623	62.4220	17.2542
Kramfors	2282	6605	62.9316	17.7765
Kristdala	0882	926	57.4000	16.1833
Kristianstad	1290	41198	56.0313	14.1524
Kristineberg	2481	200	65.0667	18.5833
Kristinehamn	1781	18358	59.3098	14.1081
Krokom	2309	1844	63.3259	14.4488
Krylbo	2084	200	60.1333	16.2167
Kullavik	1384	200	57.5433	11.9428
Kulltorp	0617	366	57.2667	13.7833
Kumla	1881	17889	59.1277	15.1434
Kungsbacka	1384	85792	57.4872	12.0761
Kungsgården	2181	744	60.6000	16.6167
Kungshamn	1427	200	58.3631	11.2594
Kungsäter	1383	414	57.3167	12.5667
Kungsör	1960	6108	59.4225	16.0966
Kungälv	1482	28912	57.8710	11.9805
Kusmark	2482	471	64.8833	20.8000
Kvibille	1380	1016	56.7289	12.8451
Kvicksund	1980	2282	59.3732	16.4431
Kvidinge	1277	1986	56.1333	13.0667
Kvissleby	2281	5189	62.2936	17.3750
Kvänum	1470	1330	58.3000	13.1833
Kyrkesund	1419	534	58.0167	11.5167
Kyrkhult	1060	976	56.3500	14.5833
Kälarne	2305	377	62.9833	16.0833
Källby	1471	1511	58.5167	13.3167
Källö-Knippla	1407	285	57.7199	11.6499
